TIME,EKTH,HS_PART,WP_PART,WSPD_ECMWF,WDIR_ECMWF,BOT_DEPTH,DIST2COAST,Outlier_Label
2022-01-15 18:00:00,4.412226,0.4664525,215.8007,6.0421214,141.6909,-3907.874,185.51515,0
2022-01-15 21:00:00,15.141249,0.74566776,298.909,9.100476,173.50691,-4281.6274,976.4762,0
2022-01-16 03:00:00,21.570059,0.8267307,250.91006,8.333195,146.73958,-4908.9277,897.625,0
2022-01-16 06:00:00,19.81635,0.7239674,264.62268,8.635755,174.93132,-3667.8184,433.4151,0
2022-01-16 09:00:00,26.664673,0.7758953,278.1157,8.166145,216.7201,-4533.502,954.34375,0
2022-01-16 12:00:00,28.600405,0.92432135,288.26035,8.314426,253.91017,-3526.6233,891.73773,0
2022-01-16 15:00:00,13.833361,0.70573324,260.54395,8.195357,164.77702,-4215.9463,503.65475,0
2022-01-16 18:00:00,6.573139,0.5595256,206.74338,6.986,98.459,-3472.9946,227.1,0
2022-01-16 21:00:00,23.749783,0.7891195,249.08488,6.5631247,234.9414,-4281.131,1084.5938,0
2022-01-17 03:00:00,7.4392977,0.6335373,214.42595,7.6596293,65.94334,-4809.6353,439.0,0
2022-01-17 09:00:00,8.101046,0.6328185,247.57414,6.268293,193.4778,-4599.8296,799.36584,0
2022-01-17 15:00:00,17.96364,0.8145627,285.4567,9.753461,256.3006,-4222.1733,1262.3077,0
2022-01-17 18:00:00,14.906283,0.72328013,259.9764,6.9839287,166.77142,-3762.5889,479.2381,0
2022-01-17 21:00:00,21.95729,0.7066802,242.31087,7.597639,211.06375,-4025.8706,775.4583,0
2022-01-18 03:00:00,10.387721,0.6872443,236.76889,8.18323,122.41231,-4859.926,641.66156,0
2022-01-18 06:00:00,12.001043,0.7282791,247.2297,7.767124,182.56917,-4085.879,529.83563,0
2022-01-18 21:00:00,17.674385,0.7538768,239.01999,7.023333,235.12299,-4449.36,1071.2456,0
2022-01-19 00:00:00,16.068419,0.63133407,252.08736,5.642564,191.93718,-4207.117,1053.2051,0
2022-01-19 06:00:00,10.225425,0.58526313,208.71518,5.676521,121.89086,-3486.9294,264.13043,0
2022-01-19 09:00:00,15.737393,0.69600946,291.9431,9.948139,165.75697,-4451.7363,780.7442,0
2022-01-19 12:00:00,23.03072,0.75380874,270.54984,7.4466667,213.93652,-4007.6838,1097.0358,0
2022-01-19 15:00:00,11.667222,0.67445534,255.68047,7.745534,188.3675,-4528.1597,515.3204,0
2022-01-19 18:00:00,13.105575,0.62386954,271.00525,7.635876,158.23175,-3975.1067,452.64948,0
